Rk,Player,Handedness,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,RF/9,lgRF9,RF/G,lgRFG,PB,WP,SB,CS,CS%,Pick,Pos,Awards,-9999,EligiblePositions,PositionFlexibility,IsP,IsC,Is1B,Is2B,Is3B,IsSS,IsLF,IsCF,IsRF,IsOF,IsDH,IsUT
1,Pete Crow-Armstrong,R,23,46,46,46,412.0,129,126,3,0,1,1.000,-1,-4,8,23,2.82,2.25,2.80,2.21,,,,,,,*8,,crowape01,CF,1,0,0,0,0,0,0,0,1,0,0,0,0
2,Dansby Swanson,R,31,46,46,42,404.0,177,65,109,3,29,.983,2,5,1,3,3.88,3.70,3.78,3.64,,,,,,,*6,,swansda01,SS,1,0,0,0,0,0,1,0,0,0,0,0,0
3,Kyle Tucker,R,28,44,44,42,392.0,95,94,0,1,0,.989,2,5,-2,-6,2.16,2.25,2.14,2.21,,,,,,,*9/D,,tuckeky01,"RF,DH",2,0,0,0,0,0,0,0,0,1,0,1,0
4,Nico Hoerner,R,28,42,42,40,372.0,183,73,108,2,24,.989,1,5,6,19,4.38,4.20,4.31,4.13,,,,,,,*4,,hoernni01,2B,1,0,0,0,1,0,0,0,0,0,0,0,0
5,Ian Happ,R,30,39,39,36,343.0,85,83,1,1,0,.988,8,30,1,3,2.20,2.25,2.15,2.21,,,,,,,*7,,happia01,LF,1,0,0,0,0,0,0,1,0,0,0,0,0
6,Michael Busch,R,27,42,38,34,338.0,295,271,22,2,31,.993,0,0,2,7,7.80,8.28,6.98,8.14,,,,,,,*3/H,,buschmi02,"1B,UT",2,0,0,1,0,0,0,0,0,0,0,0,1
7,Carson Kelly,R,30,25,24,23,211.0,215,211,3,1,1,.995,1,5,-1,-6,9.13,8.98,8.56,8.83,2,3,15,2,11.8,0,2/DH,,kellyca02,"C,DH,UT",3,0,1,0,0,0,0,0,0,0,0,1,1
8,Miguel Amaya,R,26,23,22,21,201.0,185,174,10,1,0,.995,1,9,1,6,8.24,8.98,8.00,8.83,0,6,8,3,27.3,0,2/DH,,amayami01,"C,DH,UT",3,0,1,0,0,0,0,0,0,0,0,1,1
9,Jon Berti,R,35,29,21,13,195.0,58,21,34,3,7,.948,-2,-10,1,6,2.54,2.84,1.90,2.74,,,,,,,5/4H9,,bertijo01,"3B,2B,UT,RF",4,0,0,0,1,1,0,0,0,1,0,0,1
10,Matt Shaw,R,23,18,16,13,141.0,34,8,23,3,2,.912,-3,-27,0,0,1.98,2.50,1.72,2.46,,,,,,,5/H,,shawma01,"3B,UT",2,0,0,0,0,1,0,0,0,0,0,0,1
11,Justin Turner,R,40,16,9,4,86.0,69,63,5,1,6,.986,1,16,0,0,7.12,7.47,4.00,6.47,,,,,,,3H/D5,,turneju01,"1B,UT,DH,3B",4,0,0,1,0,1,0,0,0,0,0,1,1
12,Seiya Suzuki,R,30,10,9,9,83.0,16,16,0,0,0,1.000,-3,-40,-2,-29,1.73,2.26,1.60,2.21,,,,,,,*D/79,,suzukse01,"DH,LF,RF",3,0,0,0,0,0,0,1,0,1,0,1,0
13,Matthew Boyd,R,34,9,9,0,51.1,10,1,8,1,0,.900,,,1,4,1.58,1.40,1.00,1.39,,,,,,,/1,,boydma01,P,1,1,0,0,0,0,0,0,0,0,0,0,0
14,Nicky Lopez,R,30,12,5,2,50.0,15,5,10,0,2,1.000,0,-6,-2,-48,2.70,2.61,1.07,2.75,,,,,,,5/H64D,,lopezni01,"3B,UT,SS,2B,DH",5,0,0,0,1,1,1,0,0,0,0,1,1
15,Jameson Taillon,R,33,9,9,0,49.2,7,1,6,0,0,1.000,,,-1,-4,1.27,1.41,0.78,1.39,,,,,,,/1,,taillja01,P,1,1,0,0,0,0,0,0,0,0,0,0,0
16,Shota Imanaga,R,31,8,8,0,44.2,3,2,1,0,0,1.000,,,0,0,0.60,1.41,0.38,1.39,,,,,,,/1,,imanash01,P,1,1,0,0,0,0,0,0,0,0,0,0,0
17,Ben Brown,R,25,9,8,0,41.2,2,1,1,0,0,1.000,,,-1,-5,0.43,1.40,0.22,1.39,,,,,,,/1,,brownbe02,P,1,1,0,0,0,0,0,0,0,0,0,0,0
18,Gage Workman,R,25,8,4,1,37.0,10,3,5,2,1,.800,-2,-61,-2,-65,1.95,2.68,0.89,2.72,,,,,,,/56DH,,workmga01,"3B,SS,DH,UT",4,0,0,0,0,1,1,0,0,0,0,1,1
19,Colin Rea,R,34,9,6,0,36.1,9,8,1,0,0,1.000,,,0,0,2.23,1.41,1.00,1.39,,,,,,,/1,,reaco01,P,1,1,0,0,0,0,0,0,0,0,0,0,0
20,Vidal Bruján,R,27,8,3,1,31.0,9,2,6,1,0,.889,0,14,-1,-39,2.32,2.47,1.00,2.36,,,,,,,/H57D9,,brujavi01,"UT,3B,LF,DH,RF",5,0,0,0,0,1,0,1,0,1,0,1,1
21,Justin Steele,R,29,4,4,0,22.2,3,2,1,0,0,1.000,,,0,0,1.19,1.43,0.75,1.40,,,,,,,/1,,steelju01,P,1,1,0,0,0,0,0,0,0,0,0,0,0
22,Brad Keller,R,29,19,1,0,20.2,4,0,4,0,0,1.000,,,1,10,1.74,1.39,0.21,1.39,,,,,,,1,,kellebr01,P,1,1,0,0,0,0,0,0,0,0,0,0,0
23,Porter Hodge,R,24,21,0,0,19.1,3,1,2,0,1,1.000,,,0,0,1.40,1.40,0.14,1.39,,,,,,,1,,hodgepo01,P,1,1,0,0,0,0,0,0,0,0,0,0,0
24,Julian Merryweather,R,33,19,0,0,17.0,2,0,1,1,0,.500,,,0,0,0.53,1.43,0.05,1.39,,,,,,,1,,merryju01,P,1,1,0,0,0,0,0,0,0,0,0,0,0
25,Caleb Thielbar,R,38,18,0,0,15.1,1,0,1,0,0,1.000,,,0,0,0.59,1.41,0.06,1.39,,,,,,,1,,thielca01,P,1,1,0,0,0,0,0,0,0,0,0,0,0
26,Ryan Pressly,R,36,17,0,0,15.1,1,1,0,0,0,1.000,,,-1,-13,0.59,1.41,0.06,1.39,,,,,,,1,,pressry01,P,1,1,0,0,0,0,0,0,0,0,0,0,0
27,Daniel Palencia,R,25,13,0,0,15.0,1,1,0,0,0,1.000,,,0,0,0.60,1.44,0.08,1.39,,,,,,,1,,palenda01,P,1,1,0,0,0,0,0,0,0,0,0,0,0
28,Cade Horton,R,23,2,1,0,9.0,1,1,0,0,0,1.000,,,0,0,1.00,1.40,0.50,1.40,,,,,,,/1,,hortoca01,P,1,1,0,0,0,0,0,0,0,0,0,0,0
29,Drew Pomeranz,R,36,9,0,0,8.2,0,0,0,0,0,,,,0,0,0.00,1.45,0.00,1.39,,,,,,,/1,,pomerdr01,P,1,1,0,0,0,0,0,0,0,0,0,0,0
30,Nate Pearson,R,28,8,0,0,8.2,1,1,0,0,0,1.000,,,-1,-23,1.04,1.45,0.13,1.39,,,,,,,/1,,pearsna01,P,1,1,0,0,0,0,0,0,0,0,0,0,0
31,Ethan Roberts,R,27,9,0,0,8.1,1,1,0,0,0,1.000,,,0,0,1.08,1.40,0.11,1.39,,,,,,,/1,,roberet01,P,1,1,0,0,0,0,0,0,0,0,0,0,0
32,Eli Morgan,R,29,7,0,0,7.1,3,0,3,0,0,1.000,,,1,27,3.68,1.35,0.43,1.39,,,,,,,/1,,morgael01,P,1,1,0,0,0,0,0,0,0,0,0,0,0
33,Chris Flexen,R,30,4,0,0,7.0,1,0,0,1,0,.000,,,0,0,0.00,1.41,0.00,1.40,,,,,,,/1,,flexech01,P,1,1,0,0,0,0,0,0,0,0,0,0,0
34,Gavin Hollowell,R,27,5,0,0,6.1,1,0,1,0,0,1.000,,,0,0,1.42,1.42,0.20,1.40,,,,,,,/1,,holloga01,P,1,1,0,0,0,0,0,0,0,0,0,0,0
35,Tom Cosgrove,R,29,2,0,0,4.0,1,0,1,0,0,1.000,,,0,0,2.25,1.35,0.50,1.40,,,,,,,/1,,cosgrto01,P,1,1,0,0,0,0,0,0,0,0,0,0,0
36,Jordan Wicks,R,25,2,0,0,2.0,2,0,2,0,0,1.000,,,1,100,9.00,1.35,1.00,1.40,,,,,,,/1,,wicksjo01,P,1,1,0,0,0,0,0,0,0,0,0,0,0
37,Ryan Brasier,R,37,1,0,0,1.0,0,0,0,0,0,,,,0,0,0.00,1.80,0.00,1.40,,,,,,,/1,,brasiry01,P,1,1,0,0,0,0,0,0,0,0,0,0,0
38,Luke Little,R,24,1,0,0,0.2,0,0,0,0,0,,,,0,0,0.00,1.35,0.00,1.40,,,,,,,/1,,littllu01,P,1,1,0,0,0,0,0,0,0,0,0,0,0
